Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,Related source links,License URL
SE.SEC.UNER.LO.ZS,CC BY-4.0,Adolescents out of school (% of lower secondary school age),,Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Participation,,Annual,,Weighted average,"The rate of out-of-school adolescents allows to compare across countries with different population sizes. It shows the share of official lower secondary age adolescents who never attended school or dropped out to the population of official lower secondary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
NV.AGR.EMPL.KD,CC BY-4.0,"Agriculture, value added per worker (constant 2010 US$)",,"Value added per worker is a measure of labor productivity—value added per unit of input. Value added denotes the net output of a sector after adding up all outputs and subtracting intermediate inputs. Data are in constant 2010 U.S. dollars. Agriculture corresponds to the International Standard Industrial Classification (ISIC) tabulation categories A and B (revision 3) or tabulation category A (revision 4), and includes forestry, hunting, and fishing as well as cultivation of crops and livestock production.","Derived using World Bank national accounts data and OECD National Accounts data files, and employment data from International Labour Organization, ILOSTAT database.",Economic Policy & Debt: National accounts: US$ at constant 2010 prices: Value added,,Annual,2010,Weighted average,"Value added per worker is calculated by dividing value added of a sector by the number employed in the sector.  
Gross domestic product (GDP) represents the sum of value added by all producers. Value added is the value of the gross output of producers less the value of intermediate goods and services consumed in production, before accounting for consumption of fixed capital in production. The United Nations System of National Accounts calls for value added to be valued at either basic prices (excluding net taxes on products) or producer prices (including net taxes on products paid by producers but excluding sales or value added taxes). Both valuations exclude transport charges that are invoiced separately by producers. Value added by industry is normally measured at basic prices, while total GDP is measured at purchaser prices. 
Data on employment are modeled estimates by the International Labour Organization (ILO) ILOSTAT database. The concept of employment generally refers to people above a certain age who worked, or who held a job, during a reference period. Employment data include both full-time and part-time workers.","Labor productivity is used to assess a country's economic ability to create and sustain decent employment opportunities with fair and equitable remuneration. Productivity increases obtained through investment, trade, technological progress, or changes in work organization can increase social protection and reduce poverty, which in turn reduce vulnerable employment and working poverty. Productivity increases do not guarantee these improvements, but without them—and the economic growth they bring—improvements are highly unlikely. Please also see GDP per person employed (constant 2011 PPP $) [SL.GDP.PCAP.EM.KD], which is a key measure for monitoring the Sustainable Development Goal 8 of promoting sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all.","For comparability of individual sectors labor productivity is estimated according to national accounts conventions. However, there are still significant limitations on the availability of reliable data. Information on consistent series of output is not easily available, especially in low- and middle-income countries, because the definition, coverage, and methodology are not always consistent across countries. For more details, see Agriculture, value added (constant 2010 US$) [NV.AGR.TOTL.KD], Industry, value added (constant 2010 US$) [NV.IND.TOTL.KD], and Services, etc., value added (constant 2010 US$) [NV.SRV.TOTL.KD].",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
ER.H2O.FWTL.ZS,CC BY-4.0,"Annual freshwater withdrawals, total (% of internal resources)",,"Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.","Food and Agriculture Organization, AQUASTAT data.",Environment: Freshwater,,Annual,,Weighted average,"Annual freshwater withdrawals are total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where water reuse is significant. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes.","While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).","A common perception is that most of the available freshwater resources are visible (on the surfaces of lakes, reservoirs and rivers). However, this visible water represents only a tiny fraction of global freshwater resources, as most of it is stored in aquifers, with the largest stocks stored in solid form in the Antarctic and in Greenland's ice cap.

The data on freshwater resources are based on estimates of runoff into rivers and recharge of groundwater. These estimates are based on different sources and refer to different years, so cross-country comparisons should be made with caution. Because the data are collected intermittently, they may hide significant variations in total renewable water resources from year to year. The data also fail to distinguish between seasonal and geographic variations in water availability within countries. Data for small countries and countries in arid and semiarid zones are less reliable than those for larger countries and countries with greater rainfall.

Caution should also be used in comparing data on annual freshwater withdrawals, which are subject to variations in collection and estimation methods. In addition, inflows and outflows are estimated at different times and at different levels of quality and precision, requiring caution in interpreting the data, particularly for water-short countries, notably in the Middle East and North Africa.

The data are based on surveys and estimates provided by governments to the Joint Monitoring Programme of the World Health Organization (WHO) and the United Nations Children's Fund (UNICEF). The coverage rates are based on information from service users on actual household use rather than on information from service providers, which may include nonfunctioning systems.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.SPR.PC40.ZG,CC BY-4.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",The growth rate in the welfare aggregate of bottom 40% is computed as the annualized average growth rate in per capita real consumption or income of the bottom 40% of the income distribution in a country from household surveys over a roughly 5-year period.,"The growth rate in the welfare aggregate of the bottom 40% is computed as the annualized average growth rate in per capita real consumption or income of the bottom 40% of the population in  the income distribution in a country from household surveys over a roughly 5-year period. Mean per capita real consumption or income is measured at 2011 Purchasing Power Parity (PPP) using the PovcalNet (http://iresearch.worldbank.org/PovcalNet). For some countries means are not reported due to grouped and/or confidential data. The annualized growth rate is computed as (Mean in final year/Mean in initial year)^(1/(Final year - Initial year)) - 1.  The reference year is the year in which the underlying household survey data was collected. In cases for which the data collection period bridged two calendar years, the first year in which data were collected is reported. The initial year refers to the nearest survey collected 5 years before the most recent survey available, only surveys collected between 3 and 7 years before the most recent survey are considered. The final year refers to the most recent survey available between 2011 and 2015.

Growth rates for Iraq are based on survey means of 2005 PPP$. The coverage and quality of the 2011 PPP price data for Iraq and most other North African and Middle Eastern countries were hindered by the exceptional period of instability they faced at the time of the 2011 exercise of the International Comparison Program. See PovcalNet for detailed explanations.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2011-2016 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",Poverty: Shared prosperity,%,Annual,,,,,"Growth rates for Iraq are based on survey means of 2005 PPP$. The coverage and quality of the 2011 PPP price data for Iraq and most other North African and Middle Eastern countries were hindered by the exceptional period of instability they faced at the time of the 2011 exercise of the International Comparison Program. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for detailed explanations.

Because household surveys are infrequent in most countries and are not aligned across countries, comparisons across countries or over time should be made with a high degree of caution.","The comparability of welfare aggregates (consumption or income) for the chosen years T0 and T1 is assessed for every country. If comparability across the two surveys is a major concern for a country, the selection criteria are re-applied to select the next best survey year(s). Annualized growth rates are calculated between the survey years, using a compound growth formula. The survey years defining the period for which growth rates are calculated and the type of welfare aggregate used to calculate the growth rates are noted in the footnotes.",,"World Bank, PovcalNet: an online poverty analysis tool, http://iresearch.worldbank.org/PovcalNet/index.htm",https://datacatalog.worldbank.org/public-licenses#cc-by
SI.SPR.PCAP.ZG,CC BY-4.0,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)","The growth rate in the welfare aggregate of total population is computed as annualized average growth rate in per capita real consumption or income of total population from household surveys over a roughly 5-year period. Growth rates for most countries are based on survey means of 2011 PPP$. For Iraq, they are based on survey means of 2005 PPP$.","The growth rate in the welfare aggregate of the total population is computed as the annualized average growth rate in per capita real consumption or income of the total population in  the income distribution in a country from household surveys over a roughly 5-year period. Mean per capita real consumption or income is measured at 2011 Purchasing Power Parity (PPP) using the PovcalNet (http://iresearch.worldbank.org/PovcalNet). For some countries means are not reported due to grouped and/or confidential data. The annualized growth rate is computed as (Mean in final year/Mean in initial year)^(1/(Final year - Initial year)) - 1.  The reference year is the year in which the underlying household survey data was collected. In cases for which the data collection period bridged two calendar years, the first year in which data were collected is reported. The initial year refers to the nearest survey collected 5 years before the most recent survey available, only surveys collected between 3 and 7 years before the most recent survey are considered. The final year refers to the most recent survey available between 2011 and 2015.

Growth rates for Iraq are based on survey means of 2005 PPP$. The coverage and quality of the 2011 PPP price data for Iraq and most other North African and Middle Eastern countries were hindered by the exceptional period of instability they faced at the time of the 2011 exercise of the International Comparison Program. See PovcalNet for detailed explanations.","World Bank, Global Database of Shared Prosperity (GDSP) circa 2011-2016 (http://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity).",Poverty: Shared prosperity,%,Annual,,,,,"Growth rates for Iraq are based on survey means of 2005 PPP$. The coverage and quality of the 2011 PPP price data for Iraq and most other North African and Middle Eastern countries were hindered by the exceptional period of instability they faced at the time of the 2011 exercise of the International Comparison Program. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for detailed explanations.

Because household surveys are infrequent in most countries and are not aligned across countries, comparisons across countries or over time should be made with a high degree of caution.","The comparability of welfare aggregates (consumption or income) for the chosen years T0 and T1 is assessed for every country. If comparability across the two surveys is a major concern for a country, the selection criteria are re-applied to select the next best survey year(s). Annualized growth rates are calculated between the survey years, using a compound growth formula. The survey years defining the period for which growth rates are calculated and the type of welfare aggregate used to calculate the growth rates are noted in the footnotes.",,"World Bank, PovcalNet: an online poverty analysis tool, http://iresearch.worldbank.org/PovcalNet/index.htm",https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.BRIB.ZS,CC BY-4.0,Bribery incidence (% of firms experiencing at least one bribe payment request),,"Bribery incidence is the percentage of firms experiencing at least one bribe payment request across 6 public transactions dealing with utilities access, permits, licenses, and taxes.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Private Sector & Trade: Business environment,,Annual,,Unweighted average,"Firm-level surveys have been conducted since the 1990's by different units within the World Bank. Since 2005-06, most data collection efforts have been centralized within the Enterprise Analysis Unit. Surveys implemented by the Enterprise Analysis Unit follow the Global Methodology.

Private contractors conduct the Enterprise Surveys on behalf of the World Bank. Due to sensitive survey questions addressing business-government relations and bribery-related topics, private contractors, rather than any government agency or an organization/institution associated with government, are hired by the World Bank to collect the data.

Confidentiality of the survey respondents and the sensitive information they provide is necessary to ensure the greatest degree of survey participation, integrity and confidence in the quality of the data. Surveys are usually carried out in cooperation with business organizations and government agencies promoting job creation and economic growth, but confidentiality is never compromised.

The Enterprise Survey is answered by business owners and top managers. Sometimes the survey respondent calls company accountants and human resource managers into the interview to answer questions in the sales and labor sections of the survey. Typically 1200-1800 interviews are conducted in larger economies, 360 interviews are conducted in medium-sized economies, and for smaller economies, 150 interviews take place.

The manufacturing and services sectors are the primary business sectors of interest. This corresponds to firms classified with ISIC codes 15-37, 45, 50-52, 55, 60-64, and 72 (ISIC Rev.3.1). Formal (registered) companies with 5 or more employees are targeted for interview. Services firms include construction, retail, wholesale, hotels, restaurants, transport, storage, communications, and IT. Firms with 100% government/state ownership are not eligible to participate in an Enterprise Survey. Occasionally, for a few surveyed countries, other sectors are included in the companies surveyed such as education or health-related businesses. In each country, businesses in the cities/regions of major economic activity are interviewed.

In some countries, other surveys, which depart from the usual Enterprise Survey methodology, are conducted. Examples include 1) Informal Surveys- surveys of informal (unregistered) enterprises, 2) Micro Surveys- surveys fielded to registered firms with less than five employees, and 3) Financial Crisis Assessment Surveys- short surveys administered by telephone to assess the effects of the global financial crisis of 2008-09.

The Enterprise Surveys Unit uses two instruments: the Manufacturing Questionnaire and the Services Questionnaire. Although many questions overlap, some are only applicable to one type of business. For example, retail firms are not asked about production and nonproduction workers.

The standard Enterprise Survey topics include firm characteristics, gender participation, access to finance, annual sales, costs of inputs/labor, workforce composition, bribery, licensing, infrastructure, trade, crime, competition, capacity utilization, land and permits, taxation, informality, business-government relations, innovation and technology, and performance measures.

Over 90% of the questions objectively ascertain characteristics of a country’s business environment. The remaining questions assess the survey respondents’ opinions on what are the obstacles to firm growth and performance. The mode of data collection is face-to-face interviews.","Firms evaluating investment options, governments interested in improving business conditions, and economists seeking to explain economic performance have all grappled with defining and measuring the business environment. The firm-level data from Enterprise Surveys provide a useful tool for benchmarking economies across a large number of indicators measured at the firm level.

Corruption by public officials may present a major administrative and financial burden on firms. Corruption creates an unfavorable business environment by undermining the operational efficiency of firms and raising the costs and risks associated with doing business.

In some countries doing business requires informal payments to "get things done" in customs, taxes, licenses, regulations, services, and the like. Such corruption can harm the business environment by distorting policymaking, undermining government credibility, and diverting public resources.","The sampling methodology for Enterprise Surveys is stratified random sampling. In a simple random sample, all members of the population have the same probability of being selected and no weighting of the observations is necessary. In a stratified random sample, all population units are grouped within homogeneous groups and simple random samples are selected within each group. This method allows computing estimates for each of the strata with a specified level of precision while population estimates can also be estimated by properly weighting individual observations. The sampling weights take care of the varying probabilities of selection across different strata. Under certain conditions, estimates' precision under stratified random sampling will be higher than under simple random sampling (lower standard errors may result from the estimation procedure).

The strata for Enterprise Surveys are firm size, business sector, and geographic region within a country. Firm size levels are 5-19 (small), 20-99 (medium), and 100+ employees (large-sized firms). Since in most economies, the majority of firms are small and medium-sized, Enterprise Surveys oversample large firms since larger firms tend to be engines of job creation. Sector breakdown is usually manufacturing, retail, and other services. For larger economies, specific manufacturing sub-sectors are selected as additional strata on the basis of employment, value-added, and total number of establishments figures. Geographic regions within a country are selected based on which cities/regions collectively contain the majority of economic activity.

Ideally the survey sample frame is derived from the universe of eligible firms obtained from the country’s statistical office. Sometimes the master list of firms is obtained from other government agencies such as tax or business licensing authorities. In some cases, the list of firms is obtained from business associations or marketing databases. In a few cases, the sample frame is created via block enumeration, where the World Bank “manually” constructs a list of eligible firms after 1) partitioning a country’s cities of major economic activity into clusters and blocks, 2) randomly selecting a subset of blocks which will then be enumerated. In surveys conducted since 2005-06, survey documentation which explains the source of the sample frame and any special circumstances encountered during survey fieldwork are included with the collected datasets.

Obtaining panel data, i.e. interviews with the same firms across multiple years, is a priority in current Enterprise Surveys. When conducting a new Enterprise Survey in a country where data was previously collected, maximal effort is expended to re-interview as many firms (from the prior survey) as possible. For these panel firms, sampling weights can be adjusted to take into account the resulting altered probabilities of inclusion in the sample frame.",,All surveys were administered using the Enterprise Surveys methodology as outlined in the Methodology page which can be found from www.enterprisesurveys.org.,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.ZS,CC BY-4.0,Children out of school (% of primary school age),,Children out of school are the percentage of primary-school-age children who are not enrolled in primary or secondary school. Children in the official primary age group that are in preprimary education should be considered out of school.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Participation,,Annual,,Weighted average,"The rate of out-of-school children allows to compare across countries with different population sizes. It shows the share of official primary-school-age children who never attended school or dropped out to the population of official primary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
EN.ATM.CO2E.PC,CC BY-4.0,CO2 emissions (metric tons per capita),,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.",Environment: Emissions,,Annual,,Weighted average,"Carbon dioxide emissions, largely by-products of energy production and use, account for the largest share of greenhouse gases, which are associated with global warming. Anthropogenic carbon dioxide emissions result primarily from fossil fuel combustion and cement manufacturing. In combustion different fossil fuels release different amounts of carbon dioxide for the same level of energy use: oil releases about 50 percent more carbon dioxide than natural gas, and coal releases about twice as much. Cement manufacturing releases about half a metric ton of carbon dioxide for each metric ton of cement produced. Data for carbon dioxide emissions include gases from the burning of fossil fuels and cement manufacture, but excludes emissions from land use such as deforestation.","Carbon dioxide (CO2) is naturally occurring gas fixed by photosynthesis into organic matter. A byproduct of fossil fuel combustion and biomass burning, it is also emitted from land use changes and other industrial processes. It is the principal anthropogenic greenhouse gas that affects the Earth's radiative balance. It is the reference gas against which other greenhouse gases are measured, thus having a Global Warming Potential of 1.

Burning of carbon-based fuels since the industrial revolution has rapidly increased concentrations of atmospheric carbon dioxide, increasing the rate of global warming and causing anthropogenic climate change. It is also a major source of ocean acidification since it dissolves in water to form carbonic acid.

The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.","The U.S. Department of Energy's Carbon Dioxide Information Analysis Center (CDIAC) calculates annual anthropogenic emissions from data on fossil fuel consumption (from the United Nations Statistics Division's World Energy Data Set) and world cement manufacturing (from the U.S. Department of Interior's Geological Survey, USGS 2011). Although estimates of global carbon dioxide emissions are probably accurate within 10 percent (as calculated from global average fuel chemistry and use), country estimates may have larger error bounds. Trends estimated from a consistent time series tend to be more accurate than individual values.

Each year the CDIAC recalculates the entire time series since 1949, incorporating recent findings and corrections. Estimates exclude fuels supplied to ships and aircraft in international transport because of the difficulty of apportioning the fuels among benefiting countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
per_sa_allsa.cov_pop_tot,CC BY-4.0,Coverage of social safety net programs (% of population),,"Coverage of social safety net programs shows the percentage of population participating in cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.","ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Social Protection & Labor: Performance,,Annual,,Simple average,,,"When interpreting ASPIRE performance indicators based on household surveys, it is important to note that the extent to which information on specific transfers and programs is captured in the household surveys can vary a lot across countries. Moreover, household surveys do not capture the universe of social protection programs in the country, in best practice cases just the largest programs.  As a consequence, ASPIRE indicators are not fully comparable across program categories and countries; however, they provide approximate measures of social protection systems performance.  In addition, there may be cases where ASPIRE performance indicators differ from official WB country reports as ASPIRE indicators are based on a first level analysis of original survey data  and unified methodology that does not necessarily reflect country-specific knowledge and in depth country analysis relying on administrative program level data and/or imputations.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
EN.CLC.DRSK.XQ,CC BY-4.0,Disaster risk reduction progress score (1-5 scale; 5=best),,"Disaster risk reduction progress score is an average of self-assessment scores, ranging from 1 to 5, submitted by countries under Priority 1 of the Hyogo Framework National Progress Reports. The Hyogo Framework is a global blueprint for disaster risk reduction efforts that was adopted by 168 countries in 2005. Assessments of "Priority 1" include four indicators that reflect the degree to which countries have prioritized disaster risk reduction and the strengthening of relevant institutions.","(UNISDR, 2009-2011 Progress Reports, http://www.preventionweb.net/english/hyogo).",Environment: Land use,,Annual,,,"Resilience is measured by the disaster risk reduction progress score, an average of self-assessment scores submitted by countries under Priority 1 of the Hyogo Framework National Progress Reports. The Hyogo Framework is a global blueprint for disaster risk reduction efforts that was adopted by 168 countries in 2005. Assessments of Priority 1 include four indicators that reflect the degree to which countries have prioritized disaster risk reduction and the strengthening of relevant institutions.","The Hyogo Framework's goal is to substantially reduce disaster losses by 2015 - in lives, and in the social, economic, and environmental assets of communities and countries. The Hyogo Framework offers guiding principles, priorities for action, and practical means for achieving disaster resilience for vulnerable communities. Governments around the world have committed to take action to reduce disaster risk, and have adopted a guideline to reduce vulnerabilities to natural hazards, called the Hyogo Framework for Action (HFA). The HFA assists the efforts of nations and communities to become more resilient to, and cope better with the hazards that threaten their development gains.

Scientists use the terms climate change and global warming to refer to the gradual increase in the Earth's surface temperature that has accelerated since the industrial revolution and especially over the past two decades. Most global warming has been caused by human activities that have changed the chemical composition of the atmosphere through a buildup of greenhouse gases - primarily carbon dioxide, methane, and nitrous oxide. Rising global temperatures will cause sea level rise and alter local climate conditions, affecting forests, crop yields, and water supplies, and may affect human health, animals, and many types of ecosystems.","The Hyogo Framework for Action (FHA) national progress reports assess strategic priorities in the implementation of disaster risk reduction actions and establish baselines on levels of progress achieved in implementing the HFA's five priorities for action. National reporting processes are led by officially designated HFA focal institutions in country, and regional reporting by regional intergovernmental organizations.

HFA's five priorities are:
1. Making disaster risk reduction a policy priority, institutional strengthening
2. Risk assessment and early warning systems
3. Education, information and public awareness
4. Reducing underlying risk factors
5. Preparedness for effective response",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
